File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\пролог\Me_1.json,D40BE224486498139CF1C482DA597D8A,Мне опять снился сон.(важное),我又做那个梦了。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_2.json,C25D44C04F8B05B75C23AD952DA62CC1,Этот сон...(важное),那个梦...(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_3.json,82FAFFF64F434CFBBB4BE09E695A3077,Каждую ночь одно и то же.(важное),每天晚上都是如此。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_4.json,2CAB89B047AE9375C524FB9304B0A714,"Но наутро, как обычно, всё забудется.(важное)",但到了早晨就会忘掉，像平常一样。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_5.json,831DB3394B164AB4AB3020A7CCEFDB6C,"Может быть, оно и к лучшему...(важное)",也许这样才好...(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_6.json,535E74114C84054C60FAA5AC312E4D66,"Останутся только туманные воспоминания о приоткрытых, словно приглашающих куда-то воротах, рядом с которыми в камне застыли два пионера.(важное)",只会留下一刹那的记忆----一座半开的大门，似乎要把我带向某个地方，大门的两侧各有一座少先队员的石像。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_7.json,FD147FB9479B91D93BF70CAAF8C94135,А ещё странная девочка...(важное),还有那个奇怪的女孩(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_8.json,4653D1C848741912FA5318BD0437FD56,которая постоянно спрашивает:(важное),一直在问我：(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_9.json,EE14139D4F7718ADCD09B2BBDE153C31,Пойду?..,跟我走吗？
Everlasting_summer\Content\main\звуки\пролог\Me_10.json,9F46D53A4B66F08894A08A98AA2A4884,Но куда?(важное),去哪里？(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_11.json,A63D8961409E91525B3FB0A89D532377,И зачем?..,又为什么呢？
Everlasting_summer\Content\main\звуки\пролог\Me_12.json,BC82249A455961BB1F23FC92EE74F846,Да и где я вообще нахожусь?(важное),我这到底是在哪儿啊，话说？(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_13.json,139288DB4A4A749AAFE578BEDDB6436E,"Конечно, случись всё на самом деле, наяву, стоило бы непременно испугаться.(важное)",当然，如果这种事情发生在现实中，肯定会吓到我的。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_14.json,A8BB5D334BB89653FA4DB697158A54AA,Как же иначе!,不然呢！
Everlasting_summer\Content\main\звуки\пролог\Me_15.json,E1FBC23945396C4B279B30830FB95D27,Но это – всего лишь сон.(важное),但是这只是一个梦。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_16.json,8AC46A6A445286DA1161AEB03CA1F92A,"Тот самый, который я вижу каждую ночь.(важное)",一个我每晚都会见到的梦。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_17.json,55B59A6C4DFE5FEB6D6A288AE5EC51E4,А ведь всё это неспроста!,这种事一定预示着什么！
Everlasting_summer\Content\main\звуки\пролог\Me_18.json,D3425D8642F92249F2A52599FAAE9BD0,"Необязательно знать где и почему, чтобы понять – что-то происходит.(важное)",你不必完全了解哪里或是为何就能明白：有什么事情发生了。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_19.json,247BC9BA40DA5AD656D6918F4D4E1340,"Нечто, отчаянно требующее моего внимания.(важное)",有什么事情，在拼命地吸引我的注意。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_20.json,F1D8E10B4F80993387A7DBAA13BF177D,Ведь всё окружающее меня здесь – реально!,因为周围的这一切都是真的。
Everlasting_summer\Content\main\звуки\пролог\Me_21.json,08D5F99A4A4DF931A9CFBC8A93899751,"Реально настолько, насколько реальны вещи в моей квартире; я бы мог открыть ворота, услышать скрип петель, смахнуть рукой осыпающуюся ржавчину, потянуть носом свежий прохладный воздух и поёжиться от холода.",像是我自己那间公寓一样真实： 我可以推开这扇大门，听到合页吱吱地响，划掉那些斑驳的铁锈，呼吸凉凉的新鲜空气，在夜色中打起寒噤。
Everlasting_summer\Content\main\звуки\пролог\Me_23.json,BF18AB07490EB75DD4AB9190B11CEBF1,"Мог бы, но для этого надо сдвинуться с места, сделать шаг, пошевелить рукой...",这些事我可以做到，但是相应地，我得动起来，迈开步子，挥动手臂...
Everlasting_summer\Content\main\звуки\пролог\Me_24.json,81229271421E69C646BDA991C87150A5,"А ведь это сон – я понимаю, но что дальше, что изменит моё понимание(важное)",不过这是个梦，我能感觉到，但是还有什么，在改变着我的意识？(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_25.json,526689C6419C24CE6085A0B0B05D344C,"Ведь здесь – словно по ту сторону потрескавшегося экрана старого телевизора, который из последних сил борется с помехами и силится показать зрителям всё, не упустив ни малейшей детали.",因为在这里的感觉就像是在一个电视带着裂纹的屏幕的另一头，这台电视还在尽力反抗着雪花和条纹，来给观众们展示节目中的每一个细节。
Everlasting_summer\Content\main\звуки\пролог\Me_26.json,A1A3D049430C234E1DD41A9CE6CBCB5E,Но вот картинка теряет чёткость...(важное),不过画面变得越来越模糊了...(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_27.json,133386F7417C38DA81CAAAA17C935D09,"Наверное, скоро просыпаться.(важное)",我应该马上就要醒来了。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_28.json,9171B8E84CA64DABBB5323B449D7086B,"Может быть, спросить у неё что-то?(важное)",也许我应该问问她，(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_29.json,5F69E8334578F699A1902D94F0630CB5,У девочки.,那个女孩。
Everlasting_summer\Content\main\звуки\пролог\Me_30.json,CC01947B417201BE6C91A58FD08014AB,Как же её зовут...(важное),她叫什么名字...(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_31.json,A4A000A84BB7F06BA7FA9EA65CC39C57,Например про звёзды...(важное),或者问问关于星星的事...(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_32.json,81EFB0AD432D6591299DAABD1448CD93,Хотя почему про звёзды?(важное),不过为什么是星星呢？(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_33.json,CEFC2C8F402581081CEB3281CA77FD1D,Можно же спросить про ворота!(важное),我看还不如问问这大门，(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_34.json,24F0155B4CC82B4D61DAB4AB80AB5B72,"Да, про ворота!",对了，就是这大门！
Everlasting_summer\Content\main\звуки\пролог\Me_35.json,08AC22E847865C564CAD2E91A3D1903C,Вот она удивится.(важное),她肯定会很吃惊。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_36.json,0AA36E134A14150986CEA1870D0C2A0D,Или лучше про букву ё(важное),或者是关于字母ё。(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_37.json,5AA3D2FA4E38E467033F2EB43BF8E0E7,Хорошая была буква...,多么神奇的字母= =
Everlasting_summer\Content\main\звуки\пролог\Me_38.json,166A19054C18A88D56FD87B975F9FB42,Как будто её больше нет!(важное),好像他们不再存在了似的！(важное)
Everlasting_summer\Content\main\звуки\пролог\Me_39.json,D90C1133440B4AB4CD4E68ACA8B4FC80,"И какое отношение буквы, ворота и звёзды имеют к этому месту?(важное)",不过，字母、大门和星星跟这个地方有什么关系呢？(важное)
