File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_01_Семен.json,4B119AFE4E3F2E5B049DA4AB72BF6573,"""Мне снился сон…""(важное)","""我做了个梦...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_02_Семен.json,8E7D0BD14849D18A07487CAEED57FD4D,"""Казалось, я нахожусь в каком-то вакууме, а вокруг – пустота.""(важное)","""我好像在真空中，周围什么都没有。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_03_Семен.json,008A10EB45B57E086E22938238494FF9,"""Но не только [курсив]вокруг[конец] – Я единственное существо во Вселенной.""(важное)","""不只是周围：我是整个宇宙里唯一一个生物。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_04_Семен.json,AAA7E563425EE0C5F37E2E9F893C4136,"""Как будто она вернулась в некое сингулярное состояние перед самым Большим Взрывом.""(важное)","""好像宇宙回到了大爆炸之前的奇点。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_05_Семен.json,DB244203401FE6690663A688CB74EA13,"""И вот-вот что-то должно было произойти.""(важное)","""然后马上有什么事情要发生。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_06_Семен.json,E8D5373D44AEAAF6FE0C45B95FC96640,"""Вдруг я начал слышать голос.""(важное)","""突然我听到了一个声音。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_07_Семен.json,AABC649049BC355D910D7384E791E149,"""Слов не разобрать, но он показался мне знакомым.""(важное)","""我辨认不清，但是它的感觉很熟悉。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_08_Семен.json,FCE5ECEC4AF1DC67BC1A3F8846255C80,"""Голос что-то нежно нашёптывал, как будто убаюкивая.""(важное)","""那个声音在轻轻地和我说些什么，好像在抚慰着我。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_09_Семен.json,60E4223E46912BD8A81CCAA2D3FA0216,"""И тут я понял...(важное)","""然后我意识到...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_10_Семен.json,785E9C924FEC4B1589CFD5B7FC094183,Это был голос той Незнакомки из автобуса.(важное),"""那是公交车上的奇怪女孩，""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_11_Семен.json,C06647C44BC57D343487BDAE7E20888B,"Той девушки из сна.""(важное)","""梦里的那个女孩。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_12_Семен.json,54F6B9874F7E1CD05F1802A5FFFFD128,"""Но что она хочет мне сказать? Кто она?..""(важное)","""可是她到底想和我说什么？她是谁？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_13_Семен.json,B10A67AE4C7C5424CEFF1AA880C3B920,Я проснулся(важное),"""我醒了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_14_Семен.json,A5B6BFAA4E235AD309EA0AB1328E551D,"""Яркие лучи солнца били в глаза.""(важное)","""阳光刺激着我的双眼。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_15_Семен.json,4A7C740C4E57EB5826792784CB6B06D9,"""Время приближалось к полудню.""(важное)","""已经快到中午了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_16_Семен.json,2678BC724C07234317F423A38875B259,"""Лениво потянувшись и зевнув, я начал вспоминать вчерашний день.""","""在床上懒懒地伸个懒腰，打个呵欠，我开始回忆前一天。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_17_Семен.json,8B7CC85F432E278D3590B4A9A7E65391,"""За несколько секунд все его события пронеслись перед глазами: автобус, лагерь, местные обитатели.""","""几秒钟之内，很多事情从眼前闪过：公共汽车，夏令营，这里的人们。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_18_Семен.json,5C09868F449FCAB4C9CCD7B91C9113F2,"""Но ведь всё не так, неправильно!""","""这可不对。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_19_Семен.json,826894964BD6E0FC77D01BA9BC7B93B1,"""Не эта ситуация, не моё положение – они неправильны априори, – а моё отношение к ним.""","""不是现在的处境，不是我在这里的事实—那已经是无法改变的了—而是我对这件事的态度不对了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_20_Семен.json,849D0FC34130BA57A837B69C5F85ABE4,"""Ведь я вчера запросто заснул здесь, а до этого мило беседовал с местными пионерами, даже умудрялся шутить!""","""我昨天就那样子睡了，还和这里的少先队员们愉快地交谈？甚至还讲了几个笑话？"""
