File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\DialogSystem\DialogHUDI.json,EC285DBB499303C297C772A87BD5957C,asd,asd
Everlasting_summer\Content\DialogSystem\DialogHUDI.json,9EF765CF4EE1E0C8797F569C54B4CF30,鱼,Рыба
Everlasting_summer\Content\DialogSystem\DialogHUDI.json,TextBlockDefaultValue,Text Block,文本块
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,070EC9A94EF07B196E50688EC4BFA37E,"Ты знаешь, тут здорово.",你知道吗，这里真的太棒了。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,513A01B9420C674A16A3F7A2458FA535,Не когда не думала что лагерь может оказаться класным местом.,我以前从没想过营地能是这么好的地方。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,5626C2A044FFBD5655E6C7AA7C132AEB,Я сначала даже не хотела ехать.,我一开始甚至不想来。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,160049D54A53EB0F414DCDBFB2A413D8,И что же тебя тут так привлекло?,那这里到底是什么吸引了你？
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,3FA30FCA4738F077B0B7D0B337B208F4,Да много всего.,方方面面吧。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,B40A58954CD26B5FAFBCA7823EB9D18D,"Самое главное тут постоянно солнечно почти нет ветра, а так же речка в которой можно поплавать.",最主要的是这里总是阳光灿烂，几乎没有风，还有一条可以游泳的河。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,F81D10AE45D42411F34CF48B221921B1,А у тебя дома нет речки?,难道你家那边没有河吗？
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,2435B1A64FF7D1F1FF08E9AB044BEFDC,"Есть конечно, но по ней можно только ходить так как ее обычное состояние это замерзшее.",当然有，不过基本上只能在上面走，因为它常年都是冻着的。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,C608CAB347E2A72E60B383821395D581,"Иногда она конечно оттаивает, но купать в нем все же сложно.",偶尔也会解冻，但要在里面游泳还是太难了。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,64856C1C45F593D424E5B98485902A95,"Так как она создана только для моржей, ну или для тех кто готов на следующий день готов лежать с простудой.",那条河只适合冬泳狂人，或者那种第二天心甘情愿感冒卧床的人。
Everlasting_summer\Content\DialogSystem\знакомство\а_как_тебе_это_место.json,91E601BC4A0274F96CED96807951E6A9,А тебе  самому тут нравиться?,那你自己喜欢这里吗？
