File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,EEAC844B47F280444012EC82A428269F,Click to restore old color,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,F24C16FB4EB5F285D633B38CB9CCB666,Hexadecimal Value,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,83636CCF4E05558A237D2BA2FC0BEE55,Saturation,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,14F8E1624BA490CDDE757AAA7230E6B8,Value,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,82F4BF9A4CB7F37F2A17CDAEE7CC7ABD,Alpha Channel,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,D31316F4471BCF33F8D98B87DA283197,Hue,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,81B31DD048DBB90F1557668E4C26A4AF,Blue Channel,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,9CA8A3724249076156EB3DB56CB38C9D,Green Channel,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,2E7D8F6F428D77729385F3880102F600,Red Channel,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,522C803B47606031ED616297BC6FC4F5,Saturation,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,837FE6F447200D9A168E898752247120,Value,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,5860BDA24161813E034F8BA72A194512,Аниме шейдер,动漫着色器
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,2A9A916C457E0E8DAA46B3911DD68A89,New,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,9A63DA5448910C22A768349669AC980B,Old,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,912B52D94614452B5D8E08BBEF1F5E52,V:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,CA47313F44D79F7EC65CB2A3A0DD400A,R:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,B8BCF13849206F3C01F8198945417533,частицы,粒子效果
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,6EEA0A8F4F56C60AAD33D78B07C4227A,Выберите цвет,选择颜色
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,415DF4D444A431FC87E06FB929800159,Применить,应用
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,F508B3F5421A561852E6F0AF1EB5463B,Отмена,取消
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,CE6F89B440E530C59D3C2AA3483E6869,Яркость,亮度
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,9EC3B94B471C27AEFE5072BE6CA5E84A,G:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,C3F3035E403352CF71431292C75F2638,Облака,云朵
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,DCD96D054A407BA24906F18D137A9AEE,Скорость облаков,云速
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,B4459DFD4BB0D1F7A2E8C285E843EB24,Высокие облака,高空云
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,1C9B5BF74695FC52B947B0A862644767,H:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,E3CC49AB4D286904356668B3F8A4E5F9,B:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,E13763E047303EE7BD8BAAA61F555B21,Настройка лагеря под себя,自定义营地
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,02D1851B49BC6A6AE52C04A60301FCE5,Гамма,伽马值
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,606FE29D4D99ABE6F4FA168290264B6A,S:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,52AFE2574F522FD354341B824E4CFCCC,A:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,71E1F75D41363826AEE078A154CA3EF5,Hex:,
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,73AAA57140C47DAD4C19DE89838BE659,Микрофон по касанию,按键通话
Everlasting_summer\Content\ColorPicker\UI\WBP_ColorPicker.json,B1D5BB2B4687809B61D08B95515E701A,Выберите цвет,选择颜色
Everlasting_summer\Content\InteractionWidgets\Blueprints\Enums\E_WidgetTypes.json,8E12E3B34AA6F7B99D372F9107AA7AAA,Full Widget,
Everlasting_summer\Content\InteractionWidgets\Blueprints\Enums\E_WidgetTypes.json,9F235E644857BD871276A09120ED2641,Basic Widget,
Everlasting_summer\Content\InteractionWidgets\Blueprints\Enums\E_WidgetTypes.json,26411421484F5DBB46AF0189ADEAFD76,Key Bind Widget,
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\BP_KeyBindingWidget.json,5F51997145F5633682CC00A274F219AE,Открыть,打开
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\BP_KeyBindingWidget.json,3FFD97CC4EC0E9A205D564965465CED9,поднять,拾取
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\BP_KeyBindingWidget.json,CB4CC7AC491BB86C671EAA8B910CCAA8,E,
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\Кнопки.json,6466184740DE968B6100BF9332E43ACA,поднять,拾取
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\Кнопки.json,25B57ABF4E5ECCB153573EBC349789FD,E,
Everlasting_summer\Content\InteractionWidgets\Blueprints\Widgets\Кнопки.json,ECB0B8DA4B261672FE7A93A342E35E97,Осмотреть,查看
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,05A397134DF8718A0F02548E95303439,"Вы можете находить и собирать жетоны, которые затем использовать в игровом автомате.",您可以收集代币，在游戏机中使用。
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,C6CCAF7A4EAABE382F3382B45BD77B61,"В вашем инвентаре есть вещи, которые можно применить.",您的物品栏中存放着可使用的物品。
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,51A8D1F74F266ADE00210080E7BF31C3,Некоторые предметы интерьера можно открывать.,有些室内物品可以被打开。
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,F457EACC4F031EEA7FC684BBD63B7D7B,В шкафу вы можете переодеться.,您可以在衣柜里更换服装。
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,B1EF1BD842AEBFA333C2B788AC2214B8,В игре присутствует автосохранение.,游戏具有自动保存功能。
Everlasting_summer\Content\LSS_LoadingScreenSystem\Blueprints\DemoContent\DT_LSS_RandomGameHints.json,E9CED8E249B3FBAF45FAC08D10104CA5,"В мире скрыто множество секретов и загадок, решив которые, можно получить награду.",世界里隐藏着诸多秘密与谜题，解开它们可以获得奖励。
Everlasting_summer\Content\LSS_LoadingScreenSystem\UI\ExampleWidgets\UI_LSS_Example_ProgressBar.json,C660047642BBD78A5CF6799397CDE7FA,0%,0%
Everlasting_summer\Content\LSS_LoadingScreenSystem\UI\ExampleWidgets\UI_LSS_PressAnyKeyToContinue_Complex.json,5DCEEE5A42B7B374273C35BDC4108B56,загрузка...,加载中...
Everlasting_summer\Content\LSS_LoadingScreenSystem\UI\ExampleWidgets\UI_LSS_Tips.json,8055B74B48215E236F9A1EA98C012C91,[ Нажмите любую кнопку для продолжения ],[ 按任意键继续 ]
Everlasting_summer\Content\LSS_LoadingScreenSystem\UI\ExampleWidgets\UI_LSS_Tips.json,29BC44084423D6D4690B839D100CA250,ЗАГРУЗКА,加载中
Everlasting_summer\Content\LSS_LoadingScreenSystem\UI\ExampleWidgets\UI_LSS_Tips.json,D7B4E35C4D6DBD617A06C08A921F53E6,"Lorem ipsum dolor sit amet, quot virtute in mel, ius te probo oporteat. Qui commune lucilius in, id omnis inani eripuit usu. Civibus contentiones cu duo. Ut iriure civibus ius.",
Everlasting_summer\Content\main\hud\3d\какой_день_уд.json,8CD7A50646FF3EA3F710529910A84B12,День 2,第 2 天
Everlasting_summer\Content\main\hud\3d\какой_день_уд.json,F3E609964A3A8F9E0386A88CE389C251,День 2,第 2 天
Everlasting_summer\Content\main\hud\3день\уборка5.json,78F0BF2A47AD93E5F2014D9DBD993BCA,Вроде все убрал.,好像都收拾干净了。
Everlasting_summer\Content\main\hud\hp\fps.json,TextBlockDefaultValue,Text Block,Text Block
Everlasting_summer\Content\main\hud\hp\mygameinstans.json,F1E2634544C6A098B35A11B8F9F49E07,Summer,
Everlasting_summer\Content\main\hud\hp\настройки_гемплея.json,22EAF9A6471647A80DC222AFF7B80B28,Аудио и видео материалы,音频和视频内容
Everlasting_summer\Content\main\hud\hp\настройки_гемплея.json,8009027C47D7967C8E64DBAC8A0AD615,Чуствительность мыши,鼠标灵敏度
Everlasting_summer\Content\main\hud\hp\настройки_гемплея.json,9602BE07426DFE79FDFC46983D57E917,1,
Everlasting_summer\Content\main\hud\hp\настройки_гемплея.json,E43E1D13471946FB4D709BBADA9B3EB3,Показывать фпс,显示帧率
